kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
fir;hybrid;4;262144;16;4.034;4.285;4.1124;48952899;36698810;10838185;52548;4668237;42728
fir;seq;1;1048576;16;58.133;58.487;58.2631;149615059;97198575;35097013;144715;11506073;65813
fir;neon;1;1048576;16;63.621;64.065;63.7948;156923072;104621177;35096996;143154;11529521;65213
fir;omp;1;1048576;16;58.224;58.550;58.3294;143879067;90570720;33924283;133422;10413583;59182
fir;hybrid;1;1048576;16;62.918;63.421;63.0621;150196984;95795164;33918701;137029;10412542;59132
fir;omp;2;1048576;16;29.223;29.582;29.3142;147449699;94801710;34647357;138311;11114603;62840
fir;hybrid;2;1048576;16;31.558;32.243;31.6829;153656261;100078861;34657245;140007;11118940;63057
fir;omp;3;1048576;16;19.586;19.989;19.7197;151214457;99276047;35410497;142595;11855206;67241
fir;hybrid;3;1048576;16;21.141;21.448;21.2399;157358421;104316882;35378798;142741;11821269;67010
fir;omp;4;1048576;16;14.817;15.175;14.9208;155184366;103828156;36204797;148099;12603749;71576
fir;hybrid;4;1048576;16;16.002;16.279;16.098;161434451;109022685;36197271;149199;12596482;71476
fir;seq;1;4194304;16;232.518;233.784;232.9;573990380;367577997;136033674;505662;42690177;172309
fir;neon;1;4194304;16;254.780;255.927;255.174;603350078;396728156;136000246;504957;42656103;172932
fir;omp;1;4194304;16;232.463;233.054;232.715;565811333;359496694;134613235;458719;41318104;169769
fir;hybrid;1;4194304;16;251.370;252.166;251.666;590831936;380482260;134618905;463894;41319638;170033
fir;omp;2;4194304;16;116.704;117.366;116.882;570702767;364149835;135398290;496645;42097308;175089
fir;hybrid;2;4194304;16;126.191;126.658;126.354;595814496;385139960;135406174;502687;42098032;175596
fir;omp;3;4194304;16;78.095;78.590;78.2752;576155095;368913760;136219063;503928;42870119;180859
