kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
triad;hybrid;3;524288;;1.946;2.145;2.02887;53081999;25823505;5515236;102617;2978318;55783
triad;omp;4;524288;;2.137;2.493;2.24353;59558846;31855823;7049531;108619;3957581;59096
triad;hybrid;4;524288;;1.691;1.921;1.77307;56979228;29264718;6113272;106238;3547843;58666
triad;seq;1;1048576;;16.455;16.819;16.6476;105542142;50128857;11533489;234990;5742162;79026
triad;neon;1;1048576;;9.029;9.389;9.1915;95924441;45048099;9728331;184838;4980106;78916
triad;omp;2;1048576;;8.110;8.458;8.18987;101559677;46560180;10891591;204395;5148343;77198
triad;hybrid;2;1048576;;5.093;5.292;5.1579;93686224;41584904;9058731;182218;4360033;76991
triad;omp;3;1048576;;5.488;5.724;5.61787;105611846;50714428;11621671;197655;5820559;80544
triad;hybrid;3;1048576;;3.877;4.048;3.9579;98940450;45608023;9759820;184415;5016090;81164
triad;omp;4;1048576;;4.278;4.612;4.40193;109942588;55205892;12389582;195395;6570426;84592
triad;hybrid;4;1048576;;3.376;3.525;3.43493;104729732;49936220;10504527;190520;5737027;84018
triad;seq;1;2097152;;32.729;35.782;33.1829;202939425;93268682;21649358;446991;10374389;129635
triad;neon;1;2097152;;18.051;18.521;18.274;182970368;82495864;17919678;346918;8757693;128179
triad;omp;2;2097152;;16.169;17.028;16.3494;197897315;89585071;20981019;393306;9745051;127974
triad;hybrid;2;2097152;;10.138;10.330;10.2181;181378090;79327208;17250451;340870;8125663;127401
triad;omp;3;2097152;;10.932;11.222;11.0199;202363673;94276154;21783726;368576;10512571;132983
triad;hybrid;3;2097152;;7.690;8.163;7.77117;189556180;84340232;18127026;348272;8937701;132436
triad;omp;4;2097152;;8.574;8.925;8.6951;208966839;99827938;22738803;364740;11441316;137230
triad;hybrid;4;2097152;;6.560;6.815;6.69343;198392779;89904956;19066354;351544;9879769;136566
triad;seq;1;4194304;;65.283;66.598;65.8212;396431012;178673382;41761869;866896;19464165;232998
triad;neon;1;4194304;;36.151;36.758;36.3594;356854198;157170101;34322520;674570;16232137;231572
triad;omp;2;4194304;;32.442;33.108;32.7885;388947312;174282897;40950414;776036;18693413;234210
triad;hybrid;2;4194304;;20.293;20.676;20.4433;355969600;154038097;33551628;668658;15494462;234201
triad;omp;3;4194304;;21.589;22.728;22.0381;394348176;179341049;41820073;712693;19508635;239618
triad;hybrid;3;4194304;;15.251;15.641;15.4166;368021140;158949719;34398500;673622;16286746;239571
